received_at,product_name,sub_product,issue_name,sub_issue,narrative,company_public_response,company_name,state_code,zip_code,tags,submitted_via,sent_to_company_at,company_response,timely_response_raw,complaint_id,escalation_flag,is_in_progress,issue_key
2026-08-21 18:03:17+00:00,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Trouble accessing funds in your mobile or digital wallet,,,,eToro USA LLC,FL,34266,,Web,2026-08-21 18:17:10+00:00,Untimely response,No,25656222,True,False,"Money transfer, virtual currency, or money service::Trouble accessing funds in your mobile or digital wallet"
2026-08-21 17:35:09+00:00,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,,,"Nationwide Credit & Collection, Inc.",MN,55425,,Web,2026-08-21 18:01:38+00:00,Untimely response,No,25655582,True,False,"Credit card::Other features, terms, or problems"
2026-08-21 13:58:42+00:00,Checking or savings account,Other banking product or service,Managing an account,Problem accessing account,,,ROBINHOOD MARKETS INC.,FL,32065,,Phone,2026-08-21 14:32:10+00:00,Untimely response,No,25645709,True,False,Checking or savings account::Managing an account
2026-08-21 11:41:35+00:00,"Money transfer, virtual currency, or money service",Virtual currency,Money was not available when promised,,,,ROBINHOOD MARKETS INC.,PA,19128,,Web,2026-08-21 11:54:33+00:00,Untimely response,No,25641160,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-21 03:48:46+00:00,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,,"Capital Accounts, LLC",TX,75126,,Web,2026-08-21 03:57:45+00:00,Untimely response,No,25630285,True,False,Credit card::Problem with a purchase shown on your statement
2026-08-21 03:14:18+00:00,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,,,"Capital Accounts, LLC",MI,48168,,Web,2026-08-21 03:27:04+00:00,Untimely response,No,25629353,True,False,Credit card::Closing your account
2026-08-20 22:18:53+00:00,Checking or savings account,Other banking product or service,Managing an account,Funds not handled or disbursed as instructed,,,"BANKMOBILE TECHNOLOGIES, INC",CA,95687,,Web,2026-08-20 22:24:53+00:00,Untimely response,No,25618821,True,False,Checking or savings account::Managing an account
2026-08-20 20:41:30+00:00,Checking or savings account,Other banking product or service,Managing an account,Deposits and withdrawals,,,ROBINHOOD MARKETS INC.,VA,23059,,Web,2026-08-20 20:45:49+00:00,Untimely response,No,25613597,True,False,Checking or savings account::Managing an account
2026-08-20 20:36:30+00:00,"Money transfer, virtual currency, or money service",Virtual currency,Money was not available when promised,,,,Airtm Inc.,,,,Web,2026-08-20 20:52:59+00:00,Untimely response,No,25613987,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-20 20:30:58+00:00,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,,,ROBINHOOD MARKETS INC.,MD,21704,,Web,2026-08-20 20:57:00+00:00,Untimely response,No,25614276,True,False,"Money transfer, virtual currency, or money service::Other transaction problem"
2026-08-20 16:49:21+00:00,"Money transfer, virtual currency, or money service",Mobile or digital wallet,"Managing, opening, or closing your mobile wallet account",,,,WorldRemit Corp.,GA,30326,,Web,2026-08-20 16:58:15+00:00,Untimely response,No,25601128,True,False,"Money transfer, virtual currency, or money service::Managing, opening, or closing your mobile wallet account"
2026-08-20 15:45:51+00:00,Checking or savings account,Checking account,Problem caused by your funds being low,Bounced checks or returned payments,,,ROBINHOOD MARKETS INC.,NE,68450,,Web,2026-08-20 15:55:38+00:00,Untimely response,No,25597773,True,False,Checking or savings account::Problem caused by your funds being low
2026-08-19 15:01:11+00:00,"Money transfer, virtual currency, or money service",Virtual currency,Other transaction problem,,,,"Block Land Transfer, LLC",CO,80004,,Web,2026-08-19 15:12:52+00:00,Untimely response,No,25543724,True,False,"Money transfer, virtual currency, or money service::Other transaction problem"
2026-08-19 01:50:06+00:00,Checking or savings account,Checking account,Managing an account,Fee problem,,,FIRST FOUNDATION INC.,FL,34638,,Web,2026-08-19 02:11:43+00:00,Untimely response,No,25522552,True,False,Checking or savings account::Managing an account
2026-08-18 17:21:06+00:00,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,,Conduent Incorporated,NV,89149,,Web,2026-08-18 17:30:02+00:00,Untimely response,No,25497990,True,False,Checking or savings account::Managing an account
